,,,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118
Left,ArmReach,Position,0.85,0.85,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,0.85
Left,ArmReach,Weight,1,1,0.75,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0.75,1,1
Right,ArmReach,Position,0.85,0.85,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,0.85
Right,ArmReach,Weight,1,1,0.75,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0.75,1,1
Left,HandElevation,Position,-0.5,0,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.5
Left,HandElevation,Weight,1,1,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,1
Right,HandElevation,Position,-0.5,0,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.5
Right,HandElevation,Weight,1,1,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,1
Left,HandPitch,Position,-0.9,-0.9,-0.4,0,0,0,0,0,0,0.2,-0.4,0,0,0,0,0,0,0.2,-0.9
Left,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,HandPitch,Position,-0.9,-0.9,-0.4,0,0,0,0,0,0,0.2,-0.4,0,0,0,0,0,0,0.2,-0.9
Right,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,ShoulderYaw,Position,0,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
Left,ShoulderYaw,Weight,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ShoulderYaw,Position,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Right,ShoulderYaw,Weight,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,outstretch,liftup,,,,,bring in,push down,outstretch,liftup,,,,,bring in,push down, 
