,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Left,ArmReach,Position,0.85,0.85,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,0.85
Left,ArmReach,Weight,1,1,0.75,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ArmReach,Position,0.85,0.85,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,1.05,1.05,1.2,1.3,1.35,1.4,1.1,1.1,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,1.2,1.45,1.6,1.35,1.6,1.45,1,0.7,0.85
Right,ArmReach,Weight,1,1,0.75,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,HandElevation,Position,-0.5,0,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.5
Left,HandElevation,Weight,1,1,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,0.5
Right,HandElevation,Position,-0.5,0,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.4,-0.2,0,0.2,0.4,0.6,0.3,-0.15,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.22,0.9,0.3,-0.2,-0.55,-0.5
Right,HandElevation,Weight,1,1,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,0.5,0.3,0.5,0.5,0.4,0.3,0.2,0.5,0.5
Left,HandPitch,Position,-0.9,-0.9,-0.4,0,0,0,0,0,0,0.2,-0.4,0,0,0,0,0,0,0.2,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Left,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1
Right,HandPitch,Position,-0.9,-0.9,-0.4,0,0,0,0,0,0,0.2,-0.4,0,0,0,0,0,0,0.2,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Right,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,1,1,1
Left,ShoulderYawS0,Position,0,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.4
Left,ShoulderYawS0,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ShoulderYawS0,Position,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.4
Right,ShoulderYawS0,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,outstretch,liftup,,,,,bring in,push down,outstretch,liftup,,,,,bring in,push down,touch down,,,,touch up,,,,touch down,,,,touch up,,,,touch down, 
