,,,5100,5101,5102,5103,5104,5105,5106,5107,5108,5109,5110,5111,5112,5113,5114,5115,5116,5117,5118,5119,5120
Left,ArmReach,Position,0.85,0.85,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,0.85
Left,ArmReach,Weight,1,1,0.5,0.75,1,1,1,1,1,0.75,1,0.5,0.75,1,1,1,1,1,0.75,1,1
Right,ArmReach,Position,0.85,0.85,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,0.85
Right,ArmReach,Weight,1,1,0.5,0.75,1,1,1,1,1,0.75,1,0.5,0.75,1,1,1,1,1,0.75,1,1
Left,HandElevation,Position,-0.5,0,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.3
Left,HandElevation,Weight,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.25
Right,HandElevation,Position,-0.5,0,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.3
Right,HandElevation,Weight,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.25
Left,HandPitch,Position,-0.9,-0.9,-0.3,-0.3,0,0,0,0,0,0,0.2,-0.3,-0.3,0,0,0,0,0,0,0.2,-0.9
Left,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,HandPitch,Position,-0.9,-0.9,-0.3,-0.3,0,0,0,0,0,0,0.2,-0.3,-0.3,0,0,0,0,0,0,0.2,-0.9
Right,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,ShoulderYaw,Position,0,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
Left,ShoulderYaw,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ShoulderYaw,Position,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Right,ShoulderYaw,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,outstretch,,liftup,,,,,bring in,push down,outstretch,,liftup,,,,,bring in,push down, 
