,,,5300,5301,5302,5303,5304,5305,5306,5307,5308,5309,5310,5311,5312,5313,5314,5315,5316,5317,5318,5319,5320,5321,5322,5323,5324,5325,5326,5327,5328,5329,5330,5331,5332,5333,5334,5335,5336,5337
Left,ArmReach,Position,0.85,0.85,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,0.85
Left,ArmReach,Weight,1,1,0.5,0.75,1,1,1,1,1,0.75,1,0.5,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ArmReach,Position,0.85,0.85,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,1,0.85,0.85,0.95,1.2,1.2,1.2,1.1,1.1,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,1.1,1.3,1.45,1.35,1.5,1.3,1,0.7,0.85
Right,ArmReach,Weight,1,1,0.5,0.75,1,1,1,1,1,0.75,1,0.5,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,HandElevation,Position,-0.5,0,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.5
Left,HandElevation,Weight,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0.75,1,1,0.5,0.5,1,1,1,0.75,1,1,0.5,0.5,0.5,1
Right,HandElevation,Position,-0.5,0,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.2,-0.4,-0.25,0,0.2,0.4,0.6,0.3,-0.1,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.2,0.3,0.9,1.2,1.1,0.3,-0.2,-0.55,-0.5
Right,HandElevation,Weight,1,1,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,1,0.75,1,1,0.5,0.5,1,1,1,0.75,1,1,0.5,0.5,0.5,1
Left,HandPitch,Position,-0.9,-0.9,-0.3,-0.3,0,0,0,0,0,0,0.2,-0.3,-0.3,0,0,0,0,0,0,0.2,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Left,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,HandPitch,Position,-0.9,-0.9,-0.3,-0.3,0,0,0,0,0,0,0.2,-0.3,-0.3,0,0,0,0,0,0,0.2,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.6,-0.1,0.25,0.88,0.25,-0.1,-0.6,-1,-0.9
Right,HandPitch,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Left,ShoulderYawS0,Position,0,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-0.4
Left,ShoulderYawS0,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Right,ShoulderYawS0,Position,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.4
Right,ShoulderYawS0,Weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,outstretch,,liftup,,,,,bring in,push down,outstretch,,liftup,,,,,bring in,push down,touch down,,,,touch up,,,,touch down,,,,touch up,,,,touch down, 
