inSimTime,inFidelity,trLaserOutputY,trLaserOutputX
0,0.01436743,-412.97530895,0.34626929
0.002,0.01435904,-425.95062175,0.34245825
0.004,0.01318573,-438.88927634,0.33687996
0.006,0.01251257,-451.79601146,0.33107136
0.008,0.01189198,-464.65790896,0.32417659
0.01,0.01156794,-477.46144003,0.31679854
0.012,0.01192195,-490.19105619,0.30847166
0.014,0.01354135,-502.83344355,0.29941058
0.016,0.01731551,-515.37464692,0.28937486
0.018,0.02449806,-527.80130628,0.27846486
0.02,0.03680855,-540.09247372,0.26661266
0.022,0.05663811,-552.21208355,0.25394343
0.024,0.08732849,-564.09140519,0.24054348
0.026,0.13321212,-575.60549615,0.22661802
0.028,0.19894159,-586.53445294,0.21237674
0.03,0.28764745,-596.5154869,0.19809276
0.032,0.39821966,-605.01954756,0.18403674
0.034,0.52301197,-612.30937163,0.170489
0.036,0.6484431,-618.56311857,0.15769314
0.038,0.7606523,-623.52905526,0.14585502
0.04,0.85015231,-627.07564248,0.13512198
0.042,0.91405784,-629.22182977,0.12558533
0.044,0.95511074,-630.11938015,0.11727652
0.046,0.97886217,-629.99904909,0.11017451
0.048,0.99116001,-629.11289445,0.10421028
0.05,0.99675787,-627.69459104,0.09927642
0.052,0.99889311,-625.93931417,0.09523599
0.054,0.99946369,-623.99911677,0.09193289
